CID,CRPName,Party
N00044537,"Miller, Ervan Katari",I
N00044538,"Salazar, MG",D
N00044540,"Beaumont, Paul",R
N00044541,"Ceres, Gary",R
N00044542,"Payment, Mike",R
N00044543,"Holt, Greg",3
N00044544,"Harris, Tim",L
N00044546,"Lockwood, Daniel Ulysses",D
N00044548,"Anglin, Chris",R
N00044549,"Day, Kathie C.",R
N00044550,"Dunn, Gary",R
N00044551,"Duvall, Josh",R
N00044552,"Baldini, James",R
N00044553,"Pallotta, Frank",R
N00044554,"Cirincione, Russell",D
N00044556,"Sanchez, Joseph",D
N00044557,"Kaiser, Gavin",D
N00044558,"Kokinadis, Brett",R
N00044559,"Fernandez, Teresa Leger",D
N00044560,"Plame, Valerie",D
N00044561,"Pegue, Jaymeson",D
N00044562,"Serna, Marco",D
N00044563,"Walkerlieb, Zachary",R
N00044564,"Gordon, Jacqueline",D
N00044565,"Leblanc, David J",D
N00044566,"Dibono, Matthew",D
N00044567,"Hubbard, Alexander",D
N00044568,"Boylan, Lindsey",D
N00044569,"Saladino, Joey",R
N00044570,"Hernandez, Miguel",R
N00044571,"Papazian, Ruth",R
N00044572,"Blake, Michael",D
N00044573,"Moreno-Casanova, Luz Awilda",D
N00044575,"Jacobs, Chris",R
N00044576,"Littler, Andrew",R
N00044577,"Rubando, Nick",D
N00044578,"Morgan, Kenneth",R
N00044579,"Bice, Stephanie",R
N00044580,"Neese, Terry",R
N00044582,"Smith, Daniel Jr",D
N00044583,"Teague, Johnny",R
N00044584,"Barnes, Sanjanetta",D
N00044585,"Pennie, Demetrick",R
N00044586,"Ford, Jerry",D
N00044587,"Jonasz, Adam",I
N00044588,"Reyes, Raul Jr",R
N00044589,"Waterman, Brandyn Joseph",D
N00044590,"Landin, Jeremiah",D
N00044592,"Gonzales, Tony",R
N00044594,"Collick, John",R
N00044595,"Ramirez, Tina",R
N00044597,"Cline, Natalie Ms.",D
N00044598,"Watson, Lacy",D
N00044652,"Bullock, Steve",D
N00044658,"De Blasio, Bill",D
N00044664,"Matheny, Dave",I
N00044665,"Williams, Marcus Jejaun",I
N00044666,"Mooney, Arnold",R
N00044668,"Walsh, John",D
N00044669,"Burnes, Ellen",D
N00044670,"Madden, Alice",D
N00044672,"Tomlinson, Teresa",D
N00044674,"Morgan, Clinton Wesley",R
N00044675,"Liss-Riordan, Shannon",D
N00044676,"Kidman, Bre",D
N00044677,"Levasseur, Derek",R
N00044678,"Tucker, Garland",R
N00044681,"Clarkson, Gavin",R
N00044682,"Toulouse Oliver, Maggie",D
N00044683,"Haqani, Giovanni",D
N00044687,"Dean, Brandaun",D
N00044688,"Williams, Larry",D
N00044689,"Benzel, Julianne",R
N00044690,"Burdick, Jeff",D
N00044691,"Rezvani, Dary",D
N00044692,"Proctor, Julie Ann",R
N00044694,"Vazquez, Joaquin",D
N00044695,"Matyi, Mark",I
N00044696,"Kennedy, James",D
N00044697,"Labruno, Gina Christine",R
N00044698,"Bluemling, Michael Jr",R
N00044699,"Da Rosa, Victor Garcia",R
N00044700,"Rodden, Nicole",R
N00044701,"Greene, Marjorie Taylor",R
N00044702,"Lopez Romero, Brenda",D
N00044703,"Hansen, Thomas",R
N00044704,"Gad, Sarah",D
N00044705,"Mukherjee, Valerie Ramirez",R
N00044708,"Lower, Jim",R
N00044709,"Tinsley, Hans",I
N00044710,"Swenson, Steve",D
N00044711,"Supin, Jeanne",D
N00044712,"Walker, Rodney L",D
N00044713,"Davis, Roderick",D
N00044714,"Freeman, Morgann",D
N00044715,"Apodaca, Rob",D
N00044716,"Navarro, Charles",R
N00044717,"Vladimer, Erica",D
N00044718,"Delices, Patrick",R
N00044719,"Franks, David",D
N00044720,"Rivera, Gustavo",D
N00044721,"Basora, Frangell",D
N00044722,"Oakley, Jacob",R
N00044723,"Canning, Doyle",D
N00044724,"Cunningham, Logan",R
N00044725,"Meyer, Doug",R
N00044726,"Osborne, Jacob Nathaniel",D
N00044727,"Curtis, Jon",D
N00044728,"Valencia Avalos, Viktor",D
N00044730,"Armitage, Chris",D
N00044731,"Hutcheson, Shannon",D
N00044736,"Gerhardt, Erik",L
N00044746,"Graham, Kimberly",D
N00044747,"Elliott, Kevin",D
N00044748,"Jones, Gregory",I
N00044749,"Lapierre, Michael",R
N00044750,"Averhart, James",D
N00044751,"Bah, Iman-Utopia Layjou",I
N00044754,"Lorraine, Deanna",R
N00044755,"Piterman, Nikka",R
N00044756,"Torres, Ivan",D
N00044757,"Estavillo, Erik",D
N00044758,"Arballo, Phil",D
N00044759,"Mangone, Kim",D
N00044760,"Fritz, David",R
N00044761,"Marston, Regina",D
N00044762,"Fortin, Mara",R
N00044764,"Smith, Hendrith",D
N00044765,"Makki, Amanda",R
N00044766,"Wiggins, Lloyd",R
N00044767,"Philippe, Jesse",D
N00044768,"Summeralls, Donald II",D
N00044769,"Hicks, Antonio",D
N00044770,"Unterman, Renee",R
N00044771,"Babbage, Lisa",R
N00044772,"White, Darren D",R
N00044773,"Schafer, Bill",R
N00044774,"Huss, Bradley",R
N00044775,"Fricilone, Mike",R
N00044776,"Niederberger, Daniel",R
N00044777,"Kizik, Ellen",I
N00044778,"Owensby, Alexandra",D
N00044779,"Feldman, Michael",D
N00044780,"Bryant, Shelia",D
N00044781,"Panchal, Preeti",D
N00044782,"Colvin, Nick",D
N00044783,"Whaley, Brent",R
N00044784,"Stella, Danielle",R
N00044785,"Dalrymple, Jon Jr",R
N00044786,"Basaran, Alp",D
N00044787,"Esteban, Jonathan Royce",L
N00044788,"Tucker, Antoine",R
N00044789,"Ghebreghiorgis, Andom",D
N00044790,"Bowman, Jamaal",D
N00044791,"Osoria, Lola",D
N00044792,"Hennen, Duane",R
N00044793,"Landing, Katherine",R
N00044794,"Hubbard, Steven Erich",D
N00044795,"Aguero, Anthony",R
N00044796,"Abuabara, Rosey",D
N00044797,"Fleming, Richard",D
N00044798,"Cisneros, Jessica",D
N00044799,"Irsan, Nile",R
N00044800,"Holcomb, Murray",D
N00044824,"Serbin, John",R
N00044825,"Merrill, John H",R
N00044827,"Seppelfrick, Dean",R
N00044828,"Tarter, Thomas",R
N00044829,"Ausbrooks, Jimmy",D
N00044831,"Sweet, Betsy",D
N00044832,"Mansfield, Eric",D
N00044833,"Sethi, Manny",R
N00044835,"Jagoda, Chuck",D
N00044836,"Ludwig, Yana",D
N00044838,"Hyde, Robert F",R
N00044839,"Gardner, Kiani A",D
N00044840,"Redmond, Ray",D
N00044841,"Stautz, Shay",R
N00044842,"Saleh, Kie'Marr",3
N00044843,"Patterson, Buzz",R
N00044844,"Cookingham, Kevin",R
N00044845,"Soria, Esmeralda",D
N00044846,"Hollis, Jon",R
N00044848,"Girl, Maebe A.",D
N00044849,"Early, Eric",R
N00044850,"Collin, Susan",I
N00044851,"Pittman, Shannel",3
N00044852,"Metzger, Orion Paige",D
N00044853,"Felix, Anthony Jr",D
N00044854,"Nettles, Aaron",D
N00044855,"Moua, Sou",R
N00044856,"Abed, Sam",R
N00044857,"Ramos, Famela",R
N00044858,"Valdez, Donald",D
N00044860,"Sullivan, David",R
N00044861,"Thibodeau, Mike",R
N00044862,"Castillo, Jose",R
N00044863,"Knezevich, Mike",I
N00044864,"Perelman, Jennifer",D
N00044865,"Tseng, Jacqueline",R
N00044868,"Schanbacher, Kristine",D
N00044869,"Heldut, Andrew",D
N00044870,"Rezin, Sue",R
N00044871,"Hursey, John Jr",D
N00044872,"Magiera, Chris",R
N00044873,"Beckwith, Micah",R
N00044874,"Hale, Christina",D
N00044875,"Hodgson, Abbie",D
N00044876,"Hibbitts, William",D
N00044876,"Hibbitts, William",I
N00044877,"Cain, John",R
N00044878,"Miller, Summer Rae",D
N00044879,"Mulcahy, Nathaniel",D
N00044880,"Peterson, Lisa",D
N00044881,"Fazenbaker, Tim",R
N00044883,"Afendoulis, Lynn",R
N00044884,"Meijer, Peter",R
N00044885,"Scholten, Hillary",D
N00044886,"Carbonaro, Anthony",D
N00044887,"Johnson, Lacy",R
N00044888,"Winters, Antwain",3
N00044889,"Dooling, Joe",R
N00044890,"Rains, Matt",D
N00044891,"Johnson, Tim",R
N00044892,"Judson, Mark",D
N00044894,"Ghassali, Mike",R
N00044895,"Hsu, John",D
N00044896,"Becchi, Rosemary",R
N00044897,"Flora, John",D
N00044898,"Montoya, Laura",D
N00044899,"Brown, Audra",R
N00044901,"Gokhshtein, David",I
N00044902,"Goroff, Nancy",D
N00044903,"Choi, Sandra",D
N00044904,"Gagarin, Mel",D
N00044906,"Murray, Scherie",R
N00044907,"Ravelo, Samuel",D
N00044908,"Jones, Mondaire",D
N00044910,"Cornwell, Stephen",R
N00044912,"Foster, Nikki",D
N00044913,"Schroder, Kate",D
N00044914,"Harper, Morgan",D
N00044915,"Sites, Jeffrey",D
N00044916,"Kilgore, Daniel",D
N00044917,"Reiss, Judi",D
N00044918,"Wachspress, Debbie",D
N00044919,"DePasquale, Eugene",D
N00044921,"Cox, Chris",R
N00044922,"Nelson, Kim",D
N00044923,"Robertson, Al",D
N00044924,"Daniel, Stephen",D
N00044925,"Noteware, Jim",R
N00044926,"Wilson-Williams, Melissa",D
N00044927,"Ellis, Alan",D
N00044928,"Johnson, Alex",D
N00044929,"Wyman, Jack",R
N00044930,"Imam, Donna",D
N00044931,"Hanke, Eric",D
N00044932,"Bravo, Jeremy John",D
N00044933,"Boatman, R J",R
N00044934,"Anderson, Kathleen",R
N00044935,"Mota, Joe",D
N00044936,"Daugherty, Kim",D
N00044937,"Tirman, Matt",D
N00044966,"Steyer, Tom",D
N00044975,"Gross, Al",I
N00044978,"Williams, Angela",D
N00044979,"Herzog, Suzanne",I
N00044981,"Grissom, Barry",D
N00044982,"Lindstrom, Dave",R
N00044984,"Broihier, Michael",D
N00044985,"Gideon, Sara",D
N00044986,"Holker, Alexandra Marie",D
N00044987,"Mues, John",D
N00044988,"O'Brien, Bill",R
N00044989,"Bolduc, Don",R
N00044990,"Baldwin, Alissa",R
N00044991,"Speciale, Thomas",R
N00044992,"Adkins, Gary",R
N00044995,"Riley, F Bruce",I
N00044996,"Flynn, John",R
N00044997,"Edick, David Jr",R
N00044998,"Elrod, Clyde",D
N00044999,"Mixon, Matthew",I
N00045000,"Langlois, Joel",R
N00045001,"Arvidson, Erich",D
N00045002,"Reed, Derrick",D
N00045005,"Amico, Sarah Riggs",D
N00045006,"Treacy, Jon",D
N00045007,"Hindle, Chris",R
N00045008,"Taylor, Tim",R
N00045009,"Richardson, Chris",3
N00045010,"Kashifalghita, Meshal 'Kash'",D
N00045011,"Kim, David",D
N00045012,"Glick, Jesse",R
N00045013,"West, Amy Phan",R
N00045014,"Engels, Chris",R
N00045015,"Anderson, Justin",R
N00045016,"Becker, Matt",R
N00045017,"Chase, Ed",R
N00045018,"Hattersley, Adam",D
N00045019,"Good, Margaret",D
N00045020,"Scanlan, Aaron",R
N00045021,"Baker, Joseph Kane",D
N00045022,"Ives, Jeanne",R
N00045023,"Ventura, Rachel",D
N00045024,"Jacobs, Andy Jr",D
N00045025,"Weir, Sara Hart",R
N00045026,"Morse, Alex",D
N00045027,"Brown, Carole",D
N00045029,"Berghoef, Bryan",D
N00045030,"Feig, Anthony",D
N00045031,"Smith, Christopher Bartholomew",D
N00045032,"Piwko, Richard",R
N00045033,"Acosta, Frank",R
N00045034,"Qualls, Kendall",R
N00045035,"Ekbom, Travis",R
N00045036,"Kelley, Chris",3
N00045037,"Novak, Joel",R
N00045038,"Butler, Jason",D
N00045039,"Brock, Martha",D
N00045040,"Kaszuba, Tiffany",D
N00045041,"Conforti, Christine",D
N00045042,"Kreibich, Arati",D
N00045043,"Mazo, Eugene",D
N00045044,"Rivera, Ana",R
N00045046,"Helgelien, Tiger",R
N00045047,"Sutton, Lisa Song",R
N00045048,"Blundo, Leo",R
N00045049,"Reed, Randi",R
N00045050,"D'Arrigo, Melanie",D
N00045051,"Nigro, Jeanne",I
N00045052,"Solano, Rey",R
N00045053,"Cummings, John C.",R
N00045054,"Khan, Badrun",D
N00045055,"Buchanan, Jarred",R
N00045056,"Roth, Michael",R
N00045057,"Parlato, Beth",R
N00045058,"Freshour, Shannon",D
N00045059,"Taylor, Shalira",R
N00045061,"Meehan, Andrew",R
N00045062,"Finello, Christina",D
N00045063,"Emmons, John",R
N00045064,"Jeffries, Bobby",R
N00045066,"Davis, Wendy",D
N00045067,"Sloan, Heidi",D
N00045068,"Dumdei, Mark",R
N00045069,"McLendon, Floyd",R
N00045070,"Collins, Genevieve",R
N00045072,"Fugal, Russel",I
N00045073,"Broderick, Jonia",3
N00045075,"Jones, Rob",R
N00045076,"Atencio, Rudy",D
N00045076,"Atencio, Rudy",R
N00045077,"Bonner, Justin",D
N00045078,"Stuck, Amanda",D
N00045079,"Kunkel, Catherine",D
N00045080,"Joseph, Vladimy",D
N00045101,"Parrish, Michael",I
N00045102,"Terry, Ted",D
N00045103,"Agun, Burak",R
N00045105,"Tuten, Paul",I
N00045107,"Frangedakis, Paul",R
N00045108,"Smith, Bennie J",D
N00045109,"Pemberton, Steve",D
N00045111,"Philips, Angie",D
N00045112,"Messner, Corky",R
N00045114,"Gapp, Josh",R
N00045115,"Edwards, Amanda",D
N00045116,"West, Royce",D
N00045117,"Foster, Jack Daniel Jr",D
N00045119,"Dotson, Patrick",R
N00045120,"Dismukes, Will",R
N00045121,"Williams, Celeste",D
N00045122,"Van Dyke, Gregory",R
N00045123,"Giblin, Scott",R
N00045124,"Hayden, Alison",R
N00045125,"Caldwell, Andy",R
N00045127,"Serratos, Nanci Navarro",D
N00045129,"Moser, Robert Jr",I
N00045130,"Riddle, Jonathan",R
N00045131,"Barresi, Peter",R
N00045132,"Loomer, Laura",R
N00045133,"Peters, Jannquell",D
N00045134,"Burns, Brian",D
N00045135,"Laib, Rick",R
N00045136,"Funk, Joel David",D
N00045137,"Barnett, Kali",D
N00045138,"Hicks, Josh",D
N00045139,"Morris, Genevieve",R
N00045140,"Allen, Jay",R
N00045141,"O'Dell, Linda",D
N00045142,"Clauss, Matthew",D
N00045143,"Mikula, Brandon",R
N00045144,"Williams, Whittney",R
N00045145,"Harleman, Eric",R
N00045146,"Hickman, Samuel",R
N00045147,"Johnson-Hostler, Monika",D
N00045148,"Richter, David",R
N00045149,"Prato, Catherine",R
N00045150,"Nascimbene, Luca",I
N00045151,"Herzog, Jonathan",D
N00045152,"Mark-Viverito, Melissa",D
N00045153,"Cintron, Marlene",D
N00045154,"Hawatmeh, Ola",R
N00045155,"Nesbitt, Adam",D
N00045156,"Smith, Larry",D
N00045157,"McCaffity, Sean",D
N00045159,"Lacy, J Ross",R
N00045160,"Schumann, Ross",R
N00045161,"Armendariz-Jackson, Irene",R
N00045162,"Champion, Wendell",R
N00045163,"Lecea, Justin",D
N00045164,"McQueen, Dan",R
N00045165,"Hill, Greg",R
N00045166,"Fegan, David",R
N00045167,"Van Duyne, Beth",R
N00045168,"Taylor, Jay",I
N00045169,"Cannon, Tina",R
N00045171,"Mcfarland, Jay",R
N00045172,"Coleman, Kim",R
N00045173,"Webb, Cameron",D
N00045174,"Roberge, Jason",R
N00045175,"Pade, Josh",D
N00045191,"Warren, Michelle Ferrigno",D
N00045192,"Pruitt, Bryan",R
N00045193,"Wagle, Susan",R
N00045194,"Noble, Loretta",D
N00045195,"Gray, Andre",3
N00045196,"Washington, Theron Preston",R
N00045197,"Ballard, Jack",D
N00045198,"Billings, Dylan",D
N00045199,"Yancey, Mark Spencer",R
N00045200,"Franklin, Roger Jr",R
N00045201,"Ramirez, Cristina Tzintzun",D
N00045203,"Coleman, Jeff",R
N00045204,"King, Troy",R
N00045205,"Hanson, William",D
N00045206,"McGuire, Barbara",D
N00045207,"Kohler, Nevin",D
N00045208,"Portela, Andres",D
N00045209,"Robinson, Emily",R
N00045211,"Martinez, Selena Rose",D
N00045212,"Emard, Benjamin",D
N00045213,"Intal, Austin",D
N00045214,"Golden, Crystal Marie",R
N00045215,"Berina, CJ",D
N00045216,"Fricke, Brandon",3
N00045217,"Ruiz, Raul M",R
N00045218,"Pai, Aditya",D
N00045219,"Mendiolea, Pablo",D
N00045220,"Roshan, Shawn",D
N00045221,"Horvath, Helen",I
N00045223,"Fields, Zachary",D
N00045224,"House, Steven",R
N00045225,"Hyde, Robert Finley",R
N00045226,"Anderson, Willie",D
N00045227,"Aguilar, Erick",R
N00045228,"Luna, Anna Paulina",R
N00045229,"Banyai, Cindy",D
N00045231,"Hughes, Tom",R
N00045232,"Blanco, Omar",R
N00045233,"Fiol, Juan",R
N00045234,"Haston, William",D
N00045235,"Karinshak, Zahra S.",D
N00045236,"Wang, Andrew",D
N00045237,"Lauf, Catalina",R
N00045238,"Walker, Alex",R
N00045239,"King, Esther Joy",R
N00045240,"Helmick, Charlie",R
N00045241,"Farrell, Eugene",R
N00045243,"Mitchell, Kelly",R
N00045245,"Adkins, Amanda",R
N00045246,"Fabert, Shannon",D
N00045247,"Jones, Kevin",D
N00045248,"Jowske, Jeffrey",I
N00045249,"Rajput, Solomon",D
N00045250,"Olson, Rick",R
N00045251,"Fischbach, Michelle",R
N00045253,"Wisdom, Adela",R
N00045254,"Lamm, Debra",R
N00045255,"Bucardo, Jennyfer",I
N00045256,"Gullo, Matthew",I
N00045257,"Ramsey, Barbara",D
N00045258,"Schmid, Stephanie",D
N00045260,"Chase, Claire",R
N00045261,"Tisdel, Kyle",D
N00045262,"Blair, John",D
N00045263,"Bedonie, Karen",R
N00045264,"Johnson, Alexis",R
N00045265,"Rodimer, Dan",R
N00045266,"Lal, Amit",I
N00045267,"Hiller, Michael",D
N00045268,"Hendricks, Darryl",D
N00045269,"Harrison, Peter",D
N00045270,"Lopez, Pedro",D
N00045271,"Keith, James Felton",D
N00045272,"Cruz, Israel Ortega",R
N00045273,"German, Anthony",R
N00045274,"Ortt, Rob",R
N00045275,"Bell, Jenny",D
N00045276,"Jantz, Joshua",R
N00045277,"Brown, Wyndi",D
N00045278,"Siebe, Amanda",D
N00045279,"Aller, Greg",D
N00045280,"Wilcox, Dane",D
N00045281,"Skarlatos, Alek",R
N00045282,"Clausen, Cassidy",D
N00045283,"Courser, Amy Ryan",R
N00045284,"Lanni, Lou",D
N00045285,"Howard, Logan",D
N00045286,"Raver, Whitney",D
N00045287,"Rawlings, Joshua",D
N00045288,"Gilbert, Hank",D
N00045289,"Hogg, Jon Mark",D
N00045290,"Luscombe, Ned",R
N00045291,"Bartlett, Richard",R
N00045292,"Thomas, Robert",D
N00045293,"Arriola, Jaime",R
N00045294,"Hinton, Matt",R
N00045296,"Steele, Howard",R
N00045297,"Van Winkle, Ben",R
N00045298,"Escuder, Jaime",D
N00045299,"Chaparala, Sunny",R
N00045300,"Janjigian, Dan",D
N00045301,"Pham, Nhat-Nam Nguyen",R
N00045302,"Helms, Rich",R
N00045303,"Witt, Katie",R
N00045304,"Hemmert, Dan",R
N00045305,"Lesinski, John",D
N00045306,"Call, Jason",D
N00045307,"Tiffany, Tom",R
N00045308,"Turner, Hilary",D
N00045309,"Sagoo, Gurpinder Singh",R
N00045340,"Whitney, Mark",L
N00045348,"McCarthy, Daniel",R
N00045350,"Bellamy, Veronique",3
N00045351,"Milton, Chris",3
N00045353,"Jackson, James",R
N00045354,"Woods, Cal",D
N00045355,"Franken, Michael",D
N00045356,"Oler, Travis",D
N00045357,"Curran, Mark",R
N00045358,"Chlebek, Casey",R
N00045360,"Lawlor, Marilyn Jordan",D
N00045361,"Reddi, Usha",D
N00045365,"Smith, Erica",D
N00045366,"Innis, Matt",R
N00045367,"Stitt, JJ",R
N00045368,"Rogers, Bevon",D
N00045369,"Hagerty, Bill",R
N00045370,"Gade, Daniel",R
N00045371,"Granda, Grace",I
N00045375,"Feucht, Sean",R
N00045376,"Staat, Jeremy",R
N00045377,"Obernolte, Jay",R
N00045378,"Garcia, Eric",I
N00045378,"Garcia, Eric",D
N00045379,"Rudnick, Frederick D",D
N00045380,"Salas, Robert",D
N00045381,"Kennedy, Ronda",R
N00045382,"Ahumada, Alfredo",D
N00045383,"Webber, Errol",R
N00045384,"Earley, Billy",R
N00045386,"Gomez, Georgette",D
N00045388,"Goldbeck, Janessa",D
N00045389,"Szemler, John",R
N00045390,"Krucoff, David",I
N00045392,"Melton, Jessi",R
N00045393,"Molina, Raymond",R
N00045394,"Cruz, Johsira C",R
N00045395,"Cornejo, David",D
N00045396,"White, Philanise",R
N00045397,"Bansal, Krishna",R
N00045398,"Fuller, Lori",R
N00045399,"Brzozowski, Dani",D
N00045400,"Soetaert, Michael",R
N00045401,"Clifford, Bill",R
N00045402,"Williams, Brandon",D
N00045403,"Pierrottie, Brody",D
N00045404,"Goldberg, Deb",D
N00045405,"Delgado, Jorge",R
N00045406,"Creviere, Jean-Michel",3
N00045407,"Gerber, Raymond",R
N00045408,"Roeill, Zac",D
N00045409,"Oseguera, Hector",D
N00045410,"Bateman, Ben",R
N00045411,"Rodriguez, Ydanis",D
N00045412,"Richardson, Mark",R
N00045413,"Lanier, Danyell",D
N00045414,"Belcher, Dan",R
N00045415,"Holm, John",D
N00045416,"Ijih, Nelson",R
N00045417,"McHugh, John",I
N00045418,"Wirth, Brian",D
N00045419,"Bahari, Olis",I
N00045420,"Virdell, Wesley",R
N00045421,"Pfluger, August",R
N00045422,"Welch, Lisa",D
N00045424,"Dina, Dominick",R
N00045425,"Kegley, Anita",R
N00045426,"Carrizales, Joshua",R
N00045427,"Haggard, Douglas",R
N00045428,"Jones, Cecil Burton",R
N00045429,"Liverman, Jeron",R
N00045430,"Cheek, Jamie",D
N00045431,"Biesinger, Chris",R
N00045432,"Baan, Andy",R
N00045433,"Neumann, Mark",D
N00045434,"Fitzgerald, Scott",R
N00045458,"Burgess, Denise",D
N00045459,"Rodriguez, Joshua",3
N00045460,"Shouse, Harold",D
N00045463,"Jones, Matt",D
N00045464,"Rothmuller, Eric",D
N00045465,"Goel, Atul Kumar",D
N00045466,"Dougherty, Tyler",D
N00045467,"Taher, Ibrahim",3
N00045468,"Neal, Glen",R
N00045469,"Castorani, John",R
N00045470,"Tyler, John",D
N00045471,"Bish, Christine",R
N00045472,"Blevins, Ryan",D
N00045473,"Taylor, Eric",I
N00045474,"Tandon, Ritesh",R
N00045475,"Gorman, Jeff",R
N00045477,"Liew, Sarah",R
N00045479,"Cunningham, Ryan",I
N00045480,"Calderon, Marisa",D
N00045481,"Vessio, Nicholas",R
N00045482,"Vazquez, Oz",D
N00045483,"Vilardi, Mike",R
N00045484,"Mohammad, Imtiaz",D
N00045485,"Swaffar, Darlene",R
N00045486,"Pruden, Jim",R
N00045487,"Lehtola, Sakinah",D
N00045488,"Ferguson, Andrew",D
N00045489,"Barrett, Dana",D
N00045491,"Reeder, Steven",R
N00045492,"Leatherwood, Darnell",D
N00045494,"Sollich, Michael",R
N00045495,"Broad, Adam",D
N00045496,"Catella, Anthony",R
N00045497,"Zastrow, Thomas",R
N00045498,"Dietzen, Chuck",R
N00045499,"Abernathy, Kent",R
N00045500,"Henderson, Beth Elaine",R
N00045501,"Davis, Christy",D
N00045502,"Foster, Adrienne",R
N00045503,"Grossman, Becky",D
N00045505,"Mermell, Jesse",D
N00045506,"Auchincloss, Jake",D
N00045507,"Salling, Johnny Ray",R
N00045508,"Havis, Lee",R
N00045509,"Bennett, Adrienne",R
N00045510,"Crafts, Dale",R
N00045511,"Snyder, Nikki",R
N00045512,"Kaehler, Ralph",D
N00045513,"Heyer, Gary",I
N00045514,"Waterbury, Alley",R
N00045515,"Zahradka, Tawnja",D
N00045516,"Nystrom, Quinn",D
N00045517,"Simmons, Lindsey",D
N00045518,"Smith, Robert",I
N00045519,"Tulp, James",R
N00045520,"Sutton, Aleccia",D
N00045521,"Bolz, Kate",D
N00045522,"Harrison, Gladys",D
N00045523,"Shehadeh, Hassan",D
N00045524,"Bernstein, Cathy",R
N00045525,"Velazquez, Jose",D
N00045526,"Cabrera, Fernando",D
N00045527,"Lopez, Samelys",D
N00045528,"Smierciak, Frank II",R
N00045529,"Hill, David",R
N00045530,"Barresi, Janet",R
N00045531,"Vansant, Merideth",R
N00045532,"Haas, Harry",R
N00045533,"Gnibus, Kristy",D
N00045534,"Thomsen, Brian",R
N00045535,"Estes, Benjamin",3
N00045536,"Sreepada, Kiran",D
N00045537,"Seikaly, Helane",D
N00045538,"Foster, Russell",D
N00045540,"Tucker, Robert",R
N00045541,"Batch, Brandon",R
N00045542,"Faircloth, James David",R
N00045543,"Putnam, Chris",R
N00045544,"Snider, Vance",R
N00045545,"Foxworth, Joshua",R
N00045546,"Sutton, Trent",R
N00045547,"Hatter, Whitney",I
N00045548,"Miller, Diana",R
N00045549,"Phan, Shandon",R
N00045550,"Hansen, Adam",R
N00045551,"Boedeker, Darwin",R
N00045552,"Maes, Desi",R
N00045553,"Lawrence, Michael",R
N00045554,"Cleveland, Shenita 'Shae'",D
N00045555,"Kutch, Roderick",D
N00045556,"Shepherd, Mark",R
N00045557,"Good, Bob",R
N00045558,"Knaggs, Andrew",R
N00045559,"Stone, Elizabeth",R
N00045560,"Andrews, Aliscia",R
N00045561,"Jensen, Jesse",R
N00045562,"King, Jessica",D
N00045563,"Opela, Michael",R
N00045564,"Church, Jason",R
N00045585,"Jowers, Michael",R
N00045586,"Lieberman, Matthew",D
N00045588,"Young, Aleem Left",D
N00045589,"Barron, Brad",L
N00045590,"Knoles, Mike",D
N00045591,"Neumann, Cora",D
N00045592,"Mehta, Rikin",R
N00045593,"Ahlers, Dan",D
N00045594,"Borglum, Scyller",R
N00045596,"Love, John",D
N00045597,"Harris, Victor",D
N00045598,"Bell, Chris",D
N00045599,"Pukita, Mark",R
N00045600,"Swearengin, Tammy",R
N00045601,"Moore, John",R
N00045602,"Reidhead, Nolan",R
N00045603,"Ota, Henry",3
N00045605,"Waymaster, Troy",R
N00045607,"Oelke, Elena",R
N00045608,"Detmer, Mike",R
N00045609,"Razzoli, Mark",R
N00045610,"Buchwald, David",D
N00045611,"Mueri, Hillary O'Connor",D
N00045612,"Hammond, Sarah",D
N00045613,"Worthy, Monique",R
N00045614,"Ben-Moyal, Karen",I
N00045615,"Spandau, Carl",R
N00045616,"Chevalier, Keli",R
N00045617,"Metzger, Deanna",R
N00045618,"Moutos, Nick",R
N00045619,"Daly, Andrew",D
N00045620,"Zunker, Tricia",D
N00045621,"Banner, Michael",D
N00045626,"Shelton, Alisha",D
N00045627,"Knapp, Mary",I
N00045628,"Collins, Rick",D
N00045629,"Brown, Thomas Jr",R
N00045630,"Taylor, Jessica",R
N00045631,"Page, John",L
N00045632,"Hasdorff, Terri",R
N00045633,"Stokes, Camron Devin",D
N00045635,"Smith, Juan",R
N00045636,"Ronnebeck, Steve",R
N00045637,"Wood, Daniel",R
N00045638,"Ward, Anne Marie",R
N00045639,"Gentles, Karl",D
N00045641,"Depalma, Michelle",R
N00045642,"Wilson, Mario",R
N00045643,"Byers, Jamie",R
N00045645,"Martinek, William",R
N00045646,"Medina, Alexis",D
N00045647,"Kerr, Michael",3
N00045648,"Sharma, Nisha",R
N00045649,"Scow, Adam",D
N00045650,"Papadopoulos, George",R
N00045651,"Smith, Christy",D
N00045652,"Martinez, Christopher",D
N00045653,"Perras, Brian",R
N00045654,"Kahn, Paula",D
N00045655,"Carroll, Brian",D
N00045656,"Wright, Joanne",R
N00045657,"Thompson, Larry",I
N00045658,"Kelly, Ron",I
N00045659,"Furin, Rhonda",R
N00045660,"Gonzales, Christopher",R
N00045661,"Griffin, James Brian",R
N00045662,"Murillo, Tami",R
N00045663,"Rodriguez, Alejandro",R
N00045664,"Debello, James",R
N00045665,"Ryans, Jerlilia",D
N00045666,"Ferrara, Daniel",D
N00045667,"Fox, Devorah",D
N00045668,"Meza, Annette",D
N00045669,"Pratschler, Meghan",D
N00045670,"Johnson, Alex",I
